Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 12:54:15.504,COM3,, -0.005, 0.002, 1.008, 0.000, 0.000, 0.000, -0.099, 0.060, -0.038, 60.200, 62.307, -171.573, 27.30,,,,,,,,,,,,,,,,
 12:54:15.505,COM3,, -0.005, 0.002, 1.006, 0.000, 0.000, 0.000, -0.099, 0.060, -0.038, 60.207, 62.333, -171.573, 27.27,,,,,,,,,,,,,,,,
 12:54:15.505,COM3,, -0.005, 0.002, 1.006, 0.000, 0.000, 0.000, -0.099, 0.060, -0.038, 60.213, 62.353, -171.573, 27.27,,,,,,,,,,,,,,,,
 12:54:15.505,COM3,, -0.005, 0.002, 1.006, 0.000, 0.000, 0.000, -0.099, 0.060, -0.038, 60.240, 62.347, -171.573, 27.27,,,,,,,,,,,,,,,,
 12:54:15.505,COM3,, -0.003, 0.002, 1.006, 0.000, 0.000, 0.000, -0.099, 0.060, -0.038, 60.247, 62.347, -171.573, 27.27,,,,,,,,,,,,,,,,
 12:54:15.505,COM3,, -0.003, 0.002, 1.007, 0.000, 0.000, 0.000, -0.099, 0.060, -0.038, 60.267, 62.347, -171.573, 27.34,,,,,,,,,,,,,,,,
 12:54:15.505,COM5,, -0.035, 0.011, 1.018, 0.061, 0.061, 0.916, 0.033, -0.055, -0.417, 116.860, -27.980, -199.007, 29.06,,,,,,,,,,,,,,,,
 12:54:15.760,COM5,, -0.035, 0.011, 1.018, 0.061, 0.061, 0.916, 0.033, -0.055, -0.412, 116.867, -27.993, -199.007, 29.06,,,,,,,,,,,,,,,,
 12:54:15.761,COM5,, -0.035, 0.011, 1.018, 0.061, 0.061, 0.916, 0.033, -0.055, -0.406, 116.873, -28.007, -199.007, 29.06,,,,,,,,,,,,,,,,
 12:54:15.761,COM5,, -0.033, 0.011, 1.018, 0.061, 0.061, 0.916, 0.033, -0.055, -0.401, 116.873, -28.007, -199.007, 29.06,,,,,,,,,,,,,,,,
 12:54:15.761,COM5,, -0.033, 0.035, 1.014, 0.000, 0.061, 0.793, 0.033, -0.055, -0.396, 116.867, -27.993, -199.007, 29.02,,,,,,,,,,,,,,,,
 12:54:15.761,COM5,, -0.033, 0.035, 1.014, 0.000, 0.061, 0.793, 0.033, -0.049, -0.396, 116.867, -27.980, -199.007, 29.02,,,,,,,,,,,,,,,,
 12:54:15.761,COM5,, -0.033, 0.035, 1.014, 0.000, 0.061, 0.793, 0.033, -0.049, -0.390, 116.873, -27.960, -199.007, 29.02,,,,,,,,,,,,,,,,
